class,cycles
fixed,52479986
fixed,51033038
fixed,52234806
fixed,54839250
fixed,52411082
fixed,51839892
fixed,51276032
fixed,52282168
fixed,52167450
fixed,52798374
fixed,52232038
fixed,51800314
fixed,52467634
fixed,51040766
fixed,51951840
fixed,51529644
fixed,50436054
fixed,52754070
fixed,52793672
fixed,52283930
fixed,52143560
fixed,52126762
fixed,51493384
fixed,51563190
fixed,52780208
fixed,58700190
fixed,53050982
fixed,51762058
fixed,52763752
fixed,52744948
fixed,53296234
fixed,51895654
fixed,52821960
fixed,51378876
fixed,51940634
fixed,50491174
fixed,52042248
fixed,52805390
fixed,52184506
fixed,52138812
fixed,52586400
fixed,52263694
fixed,54722772
fixed,52808862
fixed,52921078
fixed,51297580
fixed,52004574
fixed,51316636
fixed,51492378
fixed,52180870
fixed,52318768
fixed,52415134
fixed,52447550
fixed,52538032
fixed,52670664
fixed,56943740
fixed,52836522
fixed,51924850
fixed,52428254
fixed,52226426
fixed,52824434
fixed,50861376
fixed,52996216
fixed,52945810
fixed,52137212
fixed,51829642
fixed,51981638
fixed,51942090
fixed,57352338
fixed,50807122
fixed,52445250
fixed,51941930
fixed,51895840
fixed,51839192
fixed,51881980
fixed,52381962
fixed,51822240
fixed,52677232
fixed,51311848
fixed,52805774
fixed,52541834
fixed,52533246
fixed,52609438
fixed,52634148
fixed,52066460
fixed,51925948
fixed,52882686
fixed,51528558
fixed,52100962
fixed,52689098
fixed,52077418
fixed,52704788
fixed,51859108
fixed,52794230
fixed,51095854
fixed,50994590
fixed,51940514
fixed,51771170
fixed,52387426
fixed,51183288
fixed,52267404
fixed,52025244
fixed,51731290
fixed,52274626
fixed,52481108
fixed,52587218
fixed,59157744
fixed,51856474
fixed,52615054
fixed,52714160
fixed,52244042
fixed,51977236
fixed,52511346
fixed,50276568
fixed,52324804
fixed,52727032
fixed,52504772
fixed,52800192
fixed,51503364
fixed,52266802
fixed,51614250
fixed,51973630
fixed,52086470
fixed,52222528
fixed,52437432
fixed,52317442
fixed,51342654
fixed,50790464
fixed,52815870
fixed,51252764
fixed,51511928
fixed,52084296
fixed,51908722
fixed,52878704
fixed,52495984
fixed,52976912
fixed,53057066
fixed,53001544
fixed,52994602
fixed,52757848
fixed,53002764
fixed,52506942
fixed,52884950
fixed,53073214
fixed,59003504
fixed,53758048
fixed,53350960
fixed,52898170
fixed,53199620
fixed,52869594
fixed,52904518
fixed,51842084
fixed,53190700
fixed,51777154
fixed,52528556
fixed,52577748
fixed,52518914
fixed,52706392
fixed,52758502
fixed,52463260
fixed,52721446
fixed,52581510
fixed,53083128
fixed,52927476
fixed,52959596
fixed,53574362
fixed,53577762
fixed,53482082
fixed,53718030
fixed,52546864
fixed,52289308
fixed,52566528
fixed,52192444
fixed,52600362
fixed,52835370
fixed,53263898
fixed,53804412
fixed,53409988
fixed,53236290
fixed,53563020
fixed,53437888
fixed,53677352
fixed,54030150
fixed,53978292
fixed,53704724
fixed,53015226
fixed,53200708
fixed,53217214
fixed,53028036
fixed,53174508
fixed,53022210
fixed,52560352
fixed,52548590
fixed,52540278
fixed,52263928
fixed,52438250
fixed,53288118
fixed,53495408
fixed,52958426
fixed,53078706
fixed,52748404
fixed,52746156
fixed,52858130
fixed,52792062
fixed,53029860
fixed,53379558
fixed,53508342
fixed,52939818
fixed,52815604
fixed,53096492
fixed,55025958
fixed,56017914
fixed,53042204
fixed,52441828
fixed,52663352
fixed,52527992
fixed,52205664
fixed,58800948
fixed,52893982
fixed,52858828
fixed,53256304
fixed,52580054
fixed,52507286
fixed,54598500
fixed,52842090
fixed,52754936
fixed,52933492
fixed,53070664
fixed,53380662
fixed,52686298
fixed,52584974
fixed,52786452
fixed,52965896
fixed,52953110
fixed,52967186
fixed,52983076
fixed,53140292
fixed,53115928
fixed,52825780
fixed,53662514
fixed,53935106
fixed,53058032
fixed,53004260
fixed,53212732
fixed,55321440
fixed,54616322
fixed,52768684
fixed,53144832
fixed,52787910
fixed,52638734
fixed,52392972
fixed,53553938
fixed,53599882
fixed,52907370
fixed,52842676
fixed,53032934
fixed,52964436
fixed,53023566
fixed,58279392
fixed,53056006
fixed,52960488
fixed,53358946
fixed,53370480
fixed,53314956
fixed,53054816
fixed,53431732
fixed,53185450
fixed,52952012
fixed,52943420
fixed,52958132
fixed,52925732
fixed,52957144
fixed,54239118
fixed,53040936
fixed,52989810
fixed,53035722
fixed,53686410
fixed,53311246
fixed,53118452
fixed,54227914
fixed,53204144
fixed,53703190
fixed,53125984
fixed,53584816
fixed,56204650
fixed,53929500
fixed,53932612
fixed,53744836
fixed,53030252
fixed,53391982
fixed,52949552
fixed,53333038
fixed,52956452
fixed,53091534
fixed,53207114
fixed,52940844
fixed,53233790
fixed,53219036
fixed,53223930
fixed,54937990
fixed,52423418
fixed,52585222
fixed,52868112
fixed,52777736
fixed,52558834
fixed,52724284
fixed,52769878
fixed,53361106
fixed,53466464
fixed,53215626
fixed,52962722
fixed,52973740
fixed,54048156
fixed,53840074
fixed,53220858
fixed,52926178
fixed,53227364
fixed,52965044
fixed,53132238
fixed,53247626
fixed,53324670
fixed,52946374
fixed,52975808
fixed,54258312
