class,cycles
fixed,44414302
fixed,44264420
fixed,44432468
fixed,44355154
fixed,44604560
fixed,44214402
fixed,44294422
fixed,44113348
fixed,44444418
fixed,44757588
fixed,44511874
fixed,44679038
fixed,44506562
fixed,44526954
fixed,44414486
fixed,44266402
fixed,44512896
fixed,43132244
fixed,44308000
fixed,44332298
fixed,44243838
fixed,44097182
fixed,45171466
fixed,44244820
fixed,44082910
fixed,44462564
fixed,43882140
fixed,44608854
fixed,44635750
fixed,43669550
fixed,44319996
fixed,43664938
fixed,43438030
fixed,44041280
fixed,44612112
fixed,44836384
fixed,44289800
fixed,43816526
fixed,44521714
fixed,44576836
fixed,44410292
fixed,44915254
fixed,44493462
fixed,44644182
fixed,44486762
fixed,44321754
fixed,44420784
fixed,44432262
fixed,43461678
fixed,44320864
fixed,44458830
fixed,44414518
fixed,44558632
fixed,44206008
fixed,43872976
fixed,44582314
fixed,44528324
fixed,44458852
fixed,44394322
fixed,44231794
fixed,44495288
fixed,44485662
fixed,44675390
fixed,44557392
fixed,44545356
fixed,44472764
fixed,44507218
fixed,44532374
fixed,44280662
fixed,44170798
fixed,44420392
fixed,44395126
fixed,44824218
fixed,44371338
fixed,44240128
fixed,44447364
fixed,44214846
fixed,44520202
fixed,44387092
fixed,44512646
fixed,44452282
fixed,44395922
fixed,44488396
fixed,44859450
fixed,44864044
fixed,44356636
fixed,44625946
fixed,44399294
fixed,44185836
fixed,43958418
fixed,44516602
fixed,43878704
fixed,44583162
fixed,43468212
fixed,43365554
fixed,43707372
fixed,43646730
fixed,44607184
fixed,47159018
fixed,44376018
fixed,44612934
fixed,44178846
fixed,44327870
fixed,44110804
fixed,43202084
fixed,43762102
fixed,44067194
fixed,44166020
fixed,44811286
fixed,43967396
fixed,43681968
fixed,43747778
fixed,42715160
fixed,44184202
fixed,44262160
fixed,44204058
fixed,44216944
fixed,44268124
fixed,43440058
fixed,43825712
fixed,43076642
fixed,43600674
fixed,43481122
fixed,43719464
fixed,43745888
fixed,43219132
fixed,43605216
fixed,43302278
fixed,43207288
fixed,43345690
fixed,43589284
fixed,43678304
fixed,42819734
fixed,43853358
fixed,43718802
fixed,42966510
fixed,43315102
fixed,43526312
fixed,42803140
fixed,43621438
fixed,43658860
fixed,43168050
fixed,43379112
fixed,43204724
fixed,43388728
fixed,43808884
fixed,43765510
fixed,43556216
fixed,43696342
fixed,42962776
fixed,43412968
fixed,43273102
fixed,43655270
fixed,44370312
